Epoch,DLoss,GLoss,DScore,GScore
1,0.9984568357467651,0.12309867143630981,0.5031180381774902,0.5015749335289001
2,0.9857131838798523,0.12294773012399673,0.5101743340492249,0.49588751792907715
3,0.9748905897140503,0.1227954626083374,0.5166448354721069,0.49153539538383484
4,0.9652048349380493,0.1226423978805542,0.5226783156394958,0.48788315057754517
