Epoch,train_Loss,valid_Loss
1,0.767766804773022,tensor(0.1965)
2,0.16301513103429563,tensor(0.1434)
3,0.13737410188398572,tensor(0.1292)
4,0.12664536699991336,tensor(0.1197)
